from,to,comm_from,comm_to
38775,20248,1,1
41662,148612,1,1
77909,46649,1,1
93682,96001,1,1
121847,45697,1,1
93682,48937,1,1
135519,53983,1,1
119357,102864,1,1
56315,102864,1,1
37451,102864,1,1
72878,32018,1,1
94428,112080,1,1
67891,82159,1,1
147905,155109,1,1
18573,144136,1,1
126854,142022,1,1
132811,106016,1,1
73021,102864,1,1
12737,166556,1,1
155585,128991,1,1
151771,16771,1,1
165988,102864,1,1
155109,28419,1,1
165988,58670,1,1
135519,102864,1,1
65675,36675,1,1
16646,36506,1,1
93947,112080,1,1
62323,32582,1,1
89052,6236,1,1
135519,6236,1,1
173616,34260,1,1
159693,34646,1,1
109966,51644,1,1
109560,110929,1,1
93518,137913,1,1
34260,31873,1,1
46722,84483,1,1
165988,107717,1,1
76820,141461,1,1
98275,53983,1,1
93947,168132,1,1
38128,103840,1,1
83512,96001,1,1
77873,58670,1,1
138099,142149,1,1
137538,77194,1,1
46722,102864,1,1
2819,124548,1,1
89322,93947,1,1
73021,102864,1,1
112858,45697,1,1
59768,164770,1,1
467,161493,1,1
135880,104885,1,1
26400,158308,1,1
9524,130523,1,1
54037,19158,1,1
100137,102864,1,1
9009,46649,1,1
78660,102864,1,1
73021,105352,1,1
112716,71846,1,1
86083,158308,1,1
169814,141461,1,1
130455,46649,1,1
18963,92520,1,1
108779,164770,1,1
78660,142228,1,1
124721,168359,1,1
36287,16271,1,1
125372,102864,1,1
31027,129392,1,1
105352,117201,1,1
20319,148086,1,1
62465,67749,1,1
108557,102371,1,1
164867,116479,1,1
77704,159037,1,1
58794,12737,1,1
73021,164704,1,1
131285,71846,1,1
9082,102864,1,1
110929,43056,1,1
31873,68375,1,1
64289,71926,1,1
37640,58670,1,1
128624,46649,1,1
171438,102864,1,1
140665,6599,1,1
42578,76429,1,1
31657,694,1,1
86249,102864,1,1
110929,163624,1,1
175734,139585,1,1
58670,112080,1,1
13969,81991,1,1
53140,102864,1,1
152414,20111,1,1
66052,102864,1,1
64289,2619,1,1
73021,64289,1,1
93947,115547,1,1
97323,124540,1,1
56333,34646,1,1
117201,102864,1,1
98275,58670,1,1
125207,102864,1,1
101968,48843,1,1
19308,130523,1,1
73021,116985,1,1
160494,156769,1,1
161442,134586,1,1
51187,167354,1,1
35366,124540,1,1
130523,164770,1,1
43394,174478,1,1
157176,102864,1,1
36506,79200,1,1
29945,168359,1,1
78989,130523,1,1
45830,93947,1,1
121042,75451,1,1
36898,85595,1,1
11483,40374,1,1
135519,164867,1,1
99595,77495,1,1
152808,31668,1,1
131501,2314,1,1
130455,156422,1,1
58107,158308,1,1
43033,45830,1,1
6236,160986,1,1
175734,93947,1,1
98275,11483,1,1
159037,36386,1,1
163328,20248,1,1
132019,99163,1,1
49429,48347,1,1
95650,70686,1,1
106293,148690,1,1
73021,10322,1,1
73021,55474,1,1
164787,69460,1,1
54227,162024,1,1
135519,124540,1,1
53955,102864,1,1
164770,113001,1,1
113204,12890,1,1
25755,102864,1,1
139553,177260,1,1
105356,150781,1,1
144217,77194,1,1
90850,58670,1,1
146652,174478,1,1
98275,102864,1,1
102004,102864,1,1
89052,83606,1,1
