from,to,comm_from,comm_to
54381,58670,1,1
54381,46649,1,1
173453,158308,1,1
173453,46649,1,1
101447,153896,2,2
81991,62645,1,1
81991,102864,1,1
76683,133606,2,2
76683,28379,2,2
76683,133606,2,2
75766,55474,2,1
75766,134630,2,1
75766,142127,2,1
75766,19530,2,2
75766,37590,2,2
101447,116901,2,2
101447,120206,2,2
113872,120206,2,2
130455,87973,1,1
130455,89432,1,1
130455,167024,1,1
130455,6599,1,1
171698,134630,1,1
48228,159037,1,1
81991,89021,1,1
76683,44325,2,2
71846,55474,1,1
168359,40374,1,1
76683,114560,2,2
76683,11222,2,1
130455,102864,1,1
81991,158308,1,1
81991,46649,1,1
173453,58670,1,1
173453,46649,1,1
89052,139585,1,1
101447,44325,2,2
81991,2125,1,1
19140,89432,1,1
19140,167024,1,1
19140,6599,1,1
93947,129957,1,1
77704,102371,1,1
155985,87903,1,1
155985,46649,1,1
75689,3209,1,1
79557,161552,1,1
79557,97573,1,1
130455,21089,1,1
130455,36506,1,1
130455,130455,1,1
130455,93947,1,1
130455,143193,1,1
130455,64289,1,1
75689,102864,1,1
101447,114560,2,2
101447,11222,2,1
62645,102864,1,1
62645,112090,1,1
53588,130523,1,1
62530,147754,1,1
130455,150781,1,1
130455,46649,1,1
130455,167024,1,1
130455,130455,1,1
130455,36506,1,1
130455,125720,1,1
130455,46649,1,1
130455,130455,1,1
84985,168528,2,2
20248,102864,1,1
97489,17554,1,1
79557,3209,1,1
4221,89432,1,1
4221,167024,1,1
4221,6599,1,1
79557,58670,1,1
79557,46649,1,1
124540,58670,1,1
89052,86960,1,1
170646,168528,2,2
168209,46649,1,1
168209,102864,1,1
168209,164704,1,1
168209,6599,1,1
109988,147754,1,1
124540,102864,1,1
86157,48843,1,1
86157,129957,1,1
167024,89432,1,1
167024,167024,1,1
167024,6599,1,1
76284,28840,1,2
171698,55474,1,1
167024,162407,1,1
167024,167024,1,1
167024,6599,1,1
4346,147754,1,1
4346,78605,1,1
154960,129126,1,1
141298,58670,1,1
133606,58670,2,1
4346,147754,1,1
167024,20248,1,1
167024,167024,1,1
79557,6236,1,1
75689,50058,1,1
101447,133606,2,2
54227,54227,1,1
143412,147754,1,1
40128,167024,1,1
40128,6599,1,1
5978,3209,1,1
54227,87903,1,1
54227,46649,1,1
79557,22372,1,1
135979,31873,1,1
79557,6236,1,1
26202,95650,2,1
26202,26202,2,2
26202,149869,2,2
26202,28840,2,2
79557,6236,1,1
75689,124540,1,1
79557,6236,1,1
125720,87903,1,1
125720,46649,1,1
5978,22168,1,1
79557,6236,1,1
79557,102864,1,1
92124,158308,1,1
92124,46649,1,1
35269,31873,1,1
141298,102864,1,1
10786,62221,1,1
79557,6236,1,1
61072,142805,1,1
61072,23398,1,1
61072,155985,1,1
79557,6236,1,1
78605,147754,1,1
54227,31668,1,1
54227,46649,1,1
107539,12737,1,1
167024,58670,1,1
167024,167024,1,1
167024,6599,1,1
79557,6236,1,1
141486,129957,1,1
53588,130523,1,1
79557,6236,1,1
79557,6236,1,1
75766,133606,2,2
75689,159037,1,1
3209,58670,1,1
3209,167024,1,1
3209,6599,1,1
125720,31668,1,1
125720,46649,1,1
75766,133606,2,2
152414,90645,1,1
152414,159270,1,1
142814,59443,1,1
142814,112716,1,1
93289,39007,2,2
142228,139585,1,1
1474,107737,1,1
81991,58670,1,1
81991,167024,1,1
81991,6599,1,1
142228,66052,1,1
142228,46649,1,1
125720,58670,1,1
125720,167024,1,1
125720,6599,1,1
103605,83512,1,1
75766,133606,2,2
124721,158782,1,1
103840,159037,1,1
103840,81604,1,1
103840,46475,1,1
103840,22372,1,1
79557,6236,1,1
6599,58670,1,1
6599,167024,1,1
6599,6599,1,1
152414,40374,1,1
76683,139326,2,2
153938,58670,1,1
36489,102371,1,1
79557,158308,1,1
79557,46649,1,1
142228,102864,1,1
142228,58670,1,1
168702,129957,1,1
75040,107737,1,1
36489,102371,1,1
36489,102371,1,1
166704,128624,1,1
166704,55474,1,1
25755,40374,1,1
152414,58670,1,1
36489,102371,1,1
93289,55474,2,1
126206,139326,2,2
92359,58670,1,1
83512,102864,1,1
83512,6599,1,1
4221,87973,1,1
93289,131617,2,2
58670,129957,1,1
130867,31873,1,1
154219,129957,1,1
47979,67749,1,1
2747,159270,1,1
103605,40374,1,1
54227,58670,1,1
154248,107737,1,1
54227,58670,1,1
89352,89432,1,1
89352,46649,1,1
14736,35366,1,1
14736,58670,1,1
118341,17554,1,1
103840,46722,1,1
152414,93947,1,1
152414,46649,1,1
16002,159270,1,1
169814,107737,1,1
108497,75612,2,2
108497,46649,2,1
164770,118341,1,1
164770,164770,1,1
156504,87973,1,1
156504,3209,1,1
177260,147905,1,1
177260,56164,1,1
147232,17554,1,1
125720,58670,1,1
54031,75612,2,2
173588,173588,2,2
62323,158308,1,1
62323,46649,1,1
86157,50058,1,1
81991,89432,1,1
81991,46649,1,1
121999,66181,1,1
93289,28379,2,2
169814,58670,1,1
169814,167024,1,1
169814,6599,1,1
39856,3209,1,1
84424,58670,1,1
169814,159270,1,1
125720,102864,1,1
81991,87973,1,1
81991,90850,1,1
76683,137522,2,2
3443,114560,2,2
3443,11222,2,1
62323,47770,1,1
169814,90645,1,1
81991,87973,1,1
81991,3209,1,1
121999,141684,1,1
80994,141586,1,1
169814,89432,1,1
169814,46649,1,1
152368,3209,1,1
152368,6599,1,1
98957,3209,1,1
27435,164704,1,1
27435,102864,1,1
27435,87903,1,1
64289,23398,1,1
75766,137522,2,2
121999,89021,1,1
46182,50058,1,1
118341,164770,1,1
75766,155947,2,2
123662,139326,2,2
31873,34225,1,2
164867,3209,1,1
38128,90645,1,1
168359,107737,1,1
71867,6599,1,1
90850,87973,1,1
147905,141684,1,1
91361,66181,1,1
75766,114560,2,2
75766,11222,2,1
101447,75612,2,2
101447,46649,2,1
162407,41768,1,1
148226,102371,1,1
4221,112944,1,1
27869,89432,1,1
27869,167024,1,1
27869,6599,1,1
148226,38128,1,1
22386,133606,2,2
53140,46649,1,1
169814,89432,1,1
169814,167024,1,1
169814,6599,1,1
27869,66181,1,1
3443,75612,2,2
7127,36506,1,1
101447,170646,2,2
92359,130145,1,1
92359,100702,1,1
132625,47405,2,2
170811,17554,1,1
132625,47405,2,2
39456,102371,1,1
75766,84851,2,2
62833,46649,1,1
132625,158763,2,2
16002,102371,1,1
162407,164770,1,1
132625,47405,2,2
16002,102371,1,1
16002,102371,1,1
39212,4346,1,1
101447,75612,2,2
132625,145612,2,2
16002,102371,1,1
16002,102371,1,1
16002,168182,1,1
141486,150991,1,1
141486,28379,1,2
16002,102371,1,1
16002,168182,1,1
36489,161552,1,1
36489,97573,1,1
16002,102371,1,1
71142,82445,1,1
59498,154219,1,1
16002,102371,1,1
38128,102864,1,1
56164,14736,1,1
16002,63074,1,1
16002,167024,1,1
16002,6599,1,1
18161,66181,1,1
57756,102864,1,1
132625,158763,2,2
75766,149869,2,2
16002,25755,1,1
18705,18705,1,1
168209,63074,1,1
168209,167024,1,1
168209,6599,1,1
114828,89432,1,1
114828,167024,1,1
114828,6599,1,1
167817,128180,2,2
114828,100702,1,1
62530,58670,1,1
168702,55474,1,1
114828,100702,1,1
114828,100702,1,1
114828,100702,1,1
173938,58670,1,1
31668,90645,1,1
114828,100702,1,1
22313,43798,1,1
22313,11222,1,1
59498,89021,1,1
132625,106933,2,2
150365,89021,1,1
176015,107737,1,1
46722,102371,1,1
59061,42450,2,2
101447,137522,2,2
46722,102371,1,1
141486,159270,1,1
114828,66052,1,1
114828,46649,1,1
46722,102371,1,1
44497,55474,2,1
44497,134630,2,1
44497,142127,2,1
44497,19530,2,2
44497,37590,2,2
103840,45697,1,1
114828,46649,1,1
119340,46649,1,1
82810,58670,1,1
103840,44573,1,1
103840,143282,1,1
103840,46649,1,1
101447,47405,2,2
123662,172988,2,2
123662,149869,2,2
123662,123662,2,2
155307,155307,2,2
103840,174935,1,1
119357,58670,1,1
134393,107737,1,1
123662,86544,2,2
148226,53955,1,1
148226,102864,1,1
103840,36489,1,1
36489,89432,1,1
36489,167024,1,1
36489,6599,1,1
22313,43798,1,1
22313,11222,1,1
36489,89432,1,1
36489,46649,1,1
101447,78071,2,2
103840,29724,1,1
36489,55474,1,1
155307,155307,2,2
16002,58670,1,1
148226,3898,1,1
148226,23398,1,1
155307,155307,2,2
75766,87,2,2
84985,47405,2,2
153433,17554,1,1
148226,107737,1,1
21528,171070,1,1
27869,125720,1,1
27869,46649,1,1
27869,130455,1,1
91794,169198,1,1
63855,58670,1,1
108497,114560,2,2
108497,11222,2,1
152368,67086,1,1
152368,167024,1,1
152368,6599,1,1
54227,30092,1,2
54227,124758,1,2
36498,89833,1,1
36498,46649,1,1
101447,87,2,2
89401,58670,1,1
22159,149869,2,2
125790,139585,1,1
56315,171070,1,1
97323,102864,1,1
103840,55474,1,1
81991,11222,1,1
81991,102864,1,1
81991,32018,1,1
81991,144136,1,1
160437,102864,1,1
155307,155307,2,2
75766,97434,2,2
18161,67086,1,1
18161,167024,1,1
18161,6599,1,1
155307,155307,2,2
110929,112944,1,1
103840,160506,1,1
3443,109969,2,2
3443,28840,2,2
25755,63074,1,1
25755,167024,1,1
25755,6599,1,1
23536,47405,2,2
40374,25755,1,1
4337,112958,1,1
4337,46649,1,1
4337,102864,1,1
4337,101224,1,1
4337,46649,1,1
56315,49026,1,2
158106,159037,1,1
90645,138422,1,1
90645,90645,1,1
90645,155582,1,1
90645,90645,1,1
81991,11222,1,1
81991,102864,1,1
155307,155307,2,2
75766,47405,2,2
75766,149869,2,2
75766,28379,2,2
41768,116479,1,1
41768,46649,1,1
41768,11222,1,1
41768,162407,1,1
41768,125720,1,1
148226,58670,1,1
47979,159037,1,1
81604,159037,1,1
129652,89432,1,1
129652,167024,1,1
129652,6599,1,1
10165,58670,1,1
14501,29724,1,1
66052,128624,1,1
66052,55474,1,1
10165,87973,1,1
73021,6599,1,1
59498,107737,1,1
5906,55474,2,1
5906,134630,2,1
5906,142127,2,1
5906,19530,2,2
5906,37590,2,2
165758,45697,1,1
25755,102864,1,1
73021,50058,1,1
101447,75612,2,2
147232,58670,1,1
73021,102864,1,1
98957,87973,1,1
152368,58670,1,1
152368,167024,1,1
152368,6599,1,1
54227,28840,1,2
160437,36898,1,1
160437,46649,1,1
4346,4221,1,1
101447,132066,2,2
164867,58670,1,1
164867,167024,1,1
164867,6599,1,1
111071,6599,1,1
58644,144217,1,1
165988,141298,1,1
146879,17554,1,1
174788,97434,2,2
101447,28379,2,2
1519,113001,1,1
1519,159411,1,1
24974,58670,1,1
98388,102864,1,1
149019,47770,1,1
101447,75612,2,2
